epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0867,1.30377,4.36116,1.51591,0.02289,0.67266,0.05176,0.03774,0.94121,3.58248,1.38425,9.73241e-05,9.73241e-05,9.73241e-05
2,39.1377,1.25064,3.88791,1.46286,0.33594,0.19595,0.16378,0.12511,1.03006,2.9657,1.47943,0.00019339,0.00019339,0.00019339
3,57.9947,1.32586,3.34706,1.50842,0.27205,0.33258,0.21511,0.16013,1.08365,2.7389,1.58274,0.000287516,0.000287516,0.000287516
4,76.7859,1.321,2.9808,1.50114,0.25819,0.41304,0.27649,0.20771,1.05157,2.3439,1.5438,0.000285268,0.000285268,0.000285268
5,95.5783,1.31858,2.81409,1.48897,0.39828,0.33598,0.31791,0.23451,1.07128,2.444,1.56403,0.000282358,0.000282358,0.000282358
6,114.357,1.26723,2.62534,1.453,0.42091,0.39386,0.38229,0.288,1.06322,2.0935,1.50754,0.000279447,0.000279447,0.000279447
7,133.123,1.2607,2.50209,1.4476,0.60077,0.39318,0.39799,0.29479,1.05506,2.11295,1.49146,0.000276536,0.000276536,0.000276536
8,151.873,1.24951,2.43221,1.42995,0.40614,0.48553,0.45732,0.35399,1.00603,1.94263,1.47093,0.000273626,0.000273626,0.000273626
9,170.664,1.23905,2.3354,1.42163,0.36611,0.52801,0.46686,0.35712,1.05054,1.8838,1.49306,0.000270715,0.000270715,0.000270715
10,189.467,1.2431,2.26501,1.41722,0.40878,0.51664,0.45621,0.34277,1.02964,1.85004,1.45856,0.000267805,0.000267805,0.000267805
11,208.222,1.22425,2.21258,1.39668,0.38423,0.52898,0.48524,0.36407,1.03286,1.81801,1.46859,0.000264894,0.000264894,0.000264894
12,226.98,1.2087,2.13839,1.38757,0.47132,0.45479,0.45636,0.35052,1.0053,1.91842,1.44427,0.000261983,0.000261983,0.000261983
13,245.741,1.19873,2.06254,1.38759,0.55014,0.41053,0.44525,0.34137,1.03893,1.97433,1.45846,0.000259073,0.000259073,0.000259073
14,264.527,1.21382,2.05649,1.37835,0.51297,0.47667,0.50665,0.38804,0.99341,1.78904,1.42628,0.000256162,0.000256162,0.000256162
15,283.277,1.17973,1.98599,1.36274,0.4464,0.51867,0.50883,0.39178,0.99328,1.72595,1.44569,0.000253252,0.000253252,0.000253252
16,302.026,1.1925,1.98311,1.37064,0.46721,0.50302,0.48,0.35946,1.03081,1.81102,1.44967,0.000250341,0.000250341,0.000250341
17,320.802,1.18844,1.91065,1.36728,0.38475,0.54385,0.46927,0.35764,1.01347,1.84103,1.4697,0.00024743,0.00024743,0.00024743
18,339.58,1.20464,1.91095,1.3681,0.48016,0.53346,0.51418,0.39673,0.99602,1.77248,1.43855,0.00024452,0.00024452,0.00024452
19,358.359,1.17314,1.85309,1.35204,0.58052,0.5532,0.55356,0.41435,1.00348,1.60664,1.42579,0.000241609,0.000241609,0.000241609
20,377.145,1.15909,1.80749,1.34411,0.47453,0.59404,0.563,0.43419,1.01085,1.55384,1.44417,0.000238699,0.000238699,0.000238699
21,395.916,1.17718,1.81864,1.35176,0.42403,0.5511,0.51514,0.39394,1.03086,1.73746,1.4627,0.000235788,0.000235788,0.000235788
22,414.677,1.16611,1.76765,1.34641,0.46715,0.57349,0.52347,0.40394,0.98974,1.65663,1.42833,0.000232877,0.000232877,0.000232877
23,433.23,1.15578,1.74094,1.34507,0.50493,0.56802,0.56469,0.4284,1.0305,1.58266,1.45631,0.000229967,0.000229967,0.000229967
24,452.296,1.14463,1.70839,1.33085,0.53542,0.53906,0.5585,0.43862,0.98762,1.59742,1.41914,0.000227056,0.000227056,0.000227056
25,471.29,1.15273,1.69674,1.33443,0.45273,0.57951,0.51717,0.39865,1.01538,1.70846,1.4383,0.000224146,0.000224146,0.000224146
