epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4565,1.2558,3.58245,1.5692,0.52684,0.42785,0.41715,0.26768,1.18058,2.11225,1.72963,0.000174873,0.000174873,0.000174873
2,98.2554,1.26435,2.43308,1.54645,0.51279,0.55174,0.53527,0.29598,1.39774,1.77166,1.99188,0.000346739,0.000346739,0.000346739
3,145.897,1.24356,2.10917,1.52254,0.70323,0.51848,0.61233,0.37606,1.20462,1.64254,1.74401,0.000515134,0.000515134,0.000515134
4,193.251,1.23088,1.89287,1.52038,0.58087,0.59671,0.60789,0.38994,1.19698,1.58118,1.72719,0.000510378,0.000510378,0.000510378
5,240.6,1.18952,1.69945,1.48068,0.73773,0.63254,0.7016,0.47185,1.10099,1.34666,1.6333,0.00050517,0.00050517,0.00050517
6,287.95,1.15596,1.57705,1.45553,0.71934,0.64309,0.70778,0.48369,1.08531,1.23514,1.60388,0.000499963,0.000499963,0.000499963
7,335.194,1.14387,1.47128,1.44201,0.73184,0.72811,0.79082,0.54361,1.04038,1.05428,1.51648,0.000494756,0.000494756,0.000494756
8,382.431,1.11625,1.39512,1.42045,0.70765,0.68417,0.75686,0.5313,1.0346,1.05887,1.53997,0.000489548,0.000489548,0.000489548
9,429.664,1.10345,1.348,1.41333,0.73414,0.68833,0.7518,0.51991,1.03744,1.13943,1.54109,0.000484341,0.000484341,0.000484341
10,476.919,1.06779,1.28276,1.38943,0.71445,0.73331,0.75994,0.53838,1.01926,1.00617,1.54291,0.000479133,0.000479133,0.000479133
11,524.244,1.06672,1.23372,1.38736,0.76859,0.73785,0.81054,0.58239,0.97453,0.91854,1.49576,0.000473926,0.000473926,0.000473926
12,571.783,1.04548,1.19817,1.36813,0.80378,0.77542,0.85292,0.61651,0.97074,0.84307,1.507,0.000468719,0.000468719,0.000468719
13,619.049,1.03613,1.15728,1.36204,0.81504,0.79891,0.84682,0.61531,0.95822,0.7922,1.45797,0.000463511,0.000463511,0.000463511
14,666.252,1.03256,1.13748,1.35135,0.77121,0.81548,0.8454,0.62005,0.92843,0.77507,1.45062,0.000458304,0.000458304,0.000458304
15,713.466,1.01704,1.12057,1.34482,0.80892,0.77077,0.82482,0.60434,0.92931,0.84439,1.43792,0.000453096,0.000453096,0.000453096
16,761,1.00081,1.07703,1.33452,0.81043,0.76801,0.84112,0.61729,0.92897,0.84614,1.43426,0.000447889,0.000447889,0.000447889
17,808.223,0.99811,1.05376,1.32809,0.79068,0.79645,0.83201,0.60432,0.96674,0.82117,1.4879,0.000442682,0.000442682,0.000442682
18,855.433,0.97856,1.04146,1.32067,0.78985,0.77836,0.82706,0.60912,0.94839,0.84037,1.45418,0.000437474,0.000437474,0.000437474
19,902.716,0.98249,1.02172,1.3225,0.79329,0.8122,0.85147,0.63422,0.91776,0.76465,1.4304,0.000432267,0.000432267,0.000432267
20,949.883,0.96939,0.9991,1.3121,0.82784,0.80898,0.86429,0.64401,0.91048,0.6962,1.42079,0.000427059,0.000427059,0.000427059
21,997.107,0.95966,0.97255,1.3007,0.85489,0.8398,0.87236,0.66323,0.86587,0.69501,1.36889,0.000421852,0.000421852,0.000421852
22,1044.3,0.94917,0.96874,1.29038,0.84491,0.82854,0.86299,0.64779,0.90154,0.694,1.39976,0.000416645,0.000416645,0.000416645
23,1091.48,0.94954,0.95673,1.29942,0.84623,0.84434,0.89449,0.67942,0.86656,0.65161,1.37299,0.000411437,0.000411437,0.000411437
24,1138.79,0.94342,0.95092,1.29422,0.82262,0.85145,0.87927,0.67084,0.88132,0.68677,1.39108,0.00040623,0.00040623,0.00040623
25,1186.02,0.93096,0.93364,1.28006,0.84663,0.81018,0.8812,0.67172,0.87613,0.65613,1.38621,0.000401022,0.000401022,0.000401022
26,1233.37,0.92672,0.91656,1.2764,0.84425,0.79702,0.8671,0.65375,0.91948,0.7363,1.42024,0.000395815,0.000395815,0.000395815
27,1280.58,0.92205,0.90995,1.27513,0.84739,0.84271,0.88084,0.66246,0.87889,0.64074,1.39699,0.000390608,0.000390608,0.000390608
28,1327.84,0.90878,0.89051,1.26261,0.84454,0.83661,0.8757,0.66403,0.88032,0.66958,1.38645,0.0003854,0.0003854,0.0003854
29,1375.09,0.91101,0.88816,1.26826,0.85246,0.82465,0.87704,0.66641,0.86662,0.66555,1.368,0.000380193,0.000380193,0.000380193
30,1422.34,0.89701,0.86838,1.25744,0.82217,0.8707,0.89233,0.67771,0.85739,0.64382,1.3667,0.000374985,0.000374985,0.000374985
31,1469.84,0.88892,0.85225,1.25135,0.88562,0.79866,0.88536,0.67591,0.8711,0.65459,1.36898,0.000369778,0.000369778,0.000369778
32,1516.99,0.88118,0.8377,1.24352,0.88012,0.814,0.89219,0.68385,0.8638,0.63698,1.38126,0.000364571,0.000364571,0.000364571
33,1564.21,0.88659,0.84274,1.25034,0.88492,0.83449,0.90438,0.69501,0.84109,0.59277,1.34434,0.000359363,0.000359363,0.000359363
34,1611.46,0.87068,0.81883,1.23944,0.86467,0.83689,0.89505,0.68924,0.83361,0.63336,1.34504,0.000354156,0.000354156,0.000354156
