epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.2111,1.06199,3.46866,1.36672,0.43956,0.39766,0.39575,0.26244,1.10601,2.12352,1.63933,0.000174873,0.000174873,0.000174873
2,98.1976,1.05788,2.21649,1.3392,0.55364,0.55653,0.56042,0.36023,1.16587,1.66461,1.74094,0.000346739,0.000346739,0.000346739
3,145.007,1.06544,1.89033,1.34033,0.63091,0.579,0.60028,0.37965,1.12037,1.6849,1.6807,0.000515134,0.000515134,0.000515134
4,191.731,1.04144,1.65002,1.33236,0.52913,0.53678,0.52157,0.33856,1.1546,1.8734,1.67299,0.000510378,0.000510378,0.000510378
5,237.855,1.01732,1.46945,1.30446,0.76097,0.63194,0.74348,0.51089,1.03543,1.25771,1.56483,0.00050517,0.00050517,0.00050517
6,283.702,0.97892,1.33023,1.27512,0.69346,0.68142,0.72478,0.50701,1.02162,1.17545,1.53676,0.000499963,0.000499963,0.000499963
7,329.591,0.96488,1.26004,1.2724,0.79209,0.71144,0.79459,0.54976,1.01934,0.98801,1.51665,0.000494756,0.000494756,0.000494756
8,375.482,0.9434,1.15945,1.24964,0.6844,0.74266,0.75587,0.5268,1.00201,1.09203,1.51497,0.000489548,0.000489548,0.000489548
9,421.304,0.93662,1.10442,1.24524,0.74291,0.73837,0.78111,0.56076,0.99205,1.01397,1.51499,0.000484341,0.000484341,0.000484341
10,467.135,0.90318,1.05501,1.21746,0.74365,0.74093,0.78259,0.56803,0.94638,0.99059,1.45853,0.000479133,0.000479133,0.000479133
11,512.938,0.90569,1.0158,1.22467,0.75765,0.73385,0.80453,0.58512,0.9601,0.9195,1.50644,0.000473926,0.000473926,0.000473926
12,558.708,0.88208,0.97355,1.20662,0.775,0.77262,0.83047,0.60665,0.92397,0.86523,1.45074,0.000468719,0.000468719,0.000468719
13,604.525,0.86904,0.95257,1.1995,0.8234,0.75735,0.83154,0.60735,0.93707,0.92322,1.47434,0.000463511,0.000463511,0.000463511
14,650.459,0.86246,0.91375,1.1895,0.80518,0.78713,0.83871,0.61633,0.91658,0.7956,1.44692,0.000458304,0.000458304,0.000458304
15,696.255,0.85479,0.89363,1.18306,0.8106,0.75341,0.8424,0.63228,0.88283,0.80875,1.40831,0.000453096,0.000453096,0.000453096
16,741.989,0.84147,0.8608,1.17589,0.78838,0.82342,0.86304,0.64686,0.89892,0.81965,1.41285,0.000447889,0.000447889,0.000447889
17,787.641,0.83758,0.836,1.17226,0.80899,0.80277,0.85725,0.63158,0.91755,0.75968,1.4497,0.000442682,0.000442682,0.000442682
18,833.433,0.82133,0.81635,1.16309,0.84057,0.79058,0.86271,0.65079,0.87622,0.72853,1.40144,0.000437474,0.000437474,0.000437474
19,879.172,0.82049,0.80171,1.1634,0.8415,0.77943,0.86097,0.64112,0.88695,0.73917,1.39518,0.000432267,0.000432267,0.000432267
20,925.148,0.81334,0.77954,1.15611,0.82415,0.85769,0.8987,0.67473,0.88074,0.66945,1.39893,0.000427059,0.000427059,0.000427059
21,971.093,0.81038,0.76792,1.15229,0.8166,0.78063,0.84878,0.64248,0.86137,0.75838,1.37775,0.000421852,0.000421852,0.000421852
22,1016.91,0.79602,0.75473,1.13909,0.84318,0.77989,0.85167,0.64786,0.88454,0.75724,1.41707,0.000416645,0.000416645,0.000416645
23,1062.68,0.78748,0.74926,1.14055,0.85387,0.79441,0.87479,0.66419,0.8821,0.73267,1.40983,0.000411437,0.000411437,0.000411437
24,1108.48,0.78843,0.73539,1.13759,0.86053,0.82947,0.87667,0.67574,0.8614,0.68579,1.37055,0.00040623,0.00040623,0.00040623
25,1154.25,0.7785,0.71483,1.13156,0.85096,0.84116,0.8988,0.69347,0.84755,0.65596,1.35166,0.000401022,0.000401022,0.000401022
26,1199.99,0.77715,0.7053,1.12772,0.81732,0.85493,0.8749,0.67008,0.87284,0.6892,1.37619,0.000395815,0.000395815,0.000395815
