epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3178,1.79295,3.76575,1.62419,0.72827,0.69284,0.69748,0.40634,1.54842,2.26405,1.40149,0.000367506,0.000367506,0.000367506
2,35.3646,1.59105,2.23256,1.45075,0.7762,0.71775,0.77691,0.43432,1.58743,1.4504,1.52398,0.000730535,0.000730535,0.000730535
3,51.8664,1.54169,1.78616,1.39735,0.68239,0.7155,0.71266,0.39464,1.65199,1.62142,1.59972,0.00108623,0.00108623,0.00108623
4,68.3561,1.46703,1.43853,1.36938,0.84294,0.84745,0.88887,0.52602,1.40069,1.03231,1.38373,0.001078,0.001078,0.001078
5,84.7614,1.47205,1.27446,1.38472,0.91138,0.92077,0.94772,0.58947,1.3732,0.83584,1.29788,0.001067,0.001067,0.001067
6,101.005,1.36999,1.09949,1.3084,0.95591,0.93667,0.96132,0.59509,1.36551,0.80396,1.30902,0.00105601,0.00105601,0.00105601
7,117.706,1.392,1.07326,1.33024,0.95412,0.90051,0.95862,0.60798,1.33946,0.76585,1.31521,0.00104501,0.00104501,0.00104501
8,134.01,1.36532,0.99229,1.32175,0.95089,0.91919,0.95112,0.62255,1.27043,0.77053,1.2515,0.00103401,0.00103401,0.00103401
9,150.45,1.33068,0.93723,1.27686,0.95173,0.88719,0.95242,0.62136,1.29008,0.72895,1.24337,0.00102301,0.00102301,0.00102301
10,167.195,1.33531,0.92097,1.29255,0.97756,0.94064,0.96989,0.64757,1.20764,0.66434,1.22386,0.00101201,0.00101201,0.00101201
11,183.752,1.27645,0.86914,1.25557,0.97929,0.94051,0.97505,0.64257,1.1979,0.65079,1.22405,0.00100101,0.00100101,0.00100101
12,200.141,1.2539,0.84293,1.24457,0.94851,0.94063,0.96687,0.661,1.19223,0.63862,1.20718,0.000990012,0.000990012,0.000990012
13,216.448,1.24973,0.83848,1.24313,0.96604,0.93604,0.96005,0.64196,1.1915,0.65935,1.23073,0.000979013,0.000979013,0.000979013
14,232.902,1.27167,0.84476,1.27239,0.97394,0.95465,0.96576,0.65241,1.20734,0.60041,1.23182,0.000968014,0.000968014,0.000968014
15,249.206,1.23355,0.79743,1.23861,0.98376,0.95233,0.97708,0.6499,1.20958,0.59531,1.22375,0.000957015,0.000957015,0.000957015
16,266.018,1.2068,0.78155,1.22363,0.96532,0.95363,0.97243,0.64604,1.24341,0.62406,1.26544,0.000946016,0.000946016,0.000946016
17,282.71,1.20307,0.77233,1.21484,0.97678,0.95624,0.97046,0.66215,1.17529,0.6165,1.1845,0.000935018,0.000935018,0.000935018
18,299.198,1.18443,0.75658,1.20522,0.98144,0.94529,0.9689,0.6725,1.1521,0.59122,1.18673,0.000924019,0.000924019,0.000924019
19,315.666,1.18019,0.72464,1.19137,0.98734,0.95079,0.97909,0.67634,1.13475,0.54728,1.18722,0.00091302,0.00091302,0.00091302
20,331.852,1.18539,0.71916,1.19229,0.98071,0.96677,0.97884,0.69301,1.12065,0.52779,1.16851,0.000902021,0.000902021,0.000902021
21,348.042,1.17357,0.69448,1.19583,0.98127,0.96265,0.97946,0.68467,1.12138,0.53327,1.17594,0.000891022,0.000891022,0.000891022
22,364.45,1.17483,0.70077,1.2007,0.98298,0.97911,0.98603,0.69129,1.10537,0.52044,1.18688,0.000880023,0.000880023,0.000880023
23,382.573,1.14887,0.67671,1.19088,0.98553,0.97636,0.98385,0.69219,1.12247,0.50722,1.18533,0.000869024,0.000869024,0.000869024
24,400.48,1.14189,0.66079,1.18087,0.98778,0.95733,0.97866,0.70399,1.08889,0.5002,1.16886,0.000858025,0.000858025,0.000858025
25,417.94,1.15182,0.66397,1.18583,0.98328,0.94361,0.97558,0.68138,1.11853,0.53194,1.19993,0.000847026,0.000847026,0.000847026
26,436.027,1.13515,0.65984,1.1746,0.98905,0.95412,0.97128,0.69305,1.10477,0.5152,1.18501,0.000836027,0.000836027,0.000836027
27,453.156,1.12948,0.63815,1.18155,0.97279,0.97787,0.98265,0.69773,1.10036,0.50236,1.17709,0.000825029,0.000825029,0.000825029
28,469.396,1.12878,0.64828,1.17051,0.98243,0.96581,0.97875,0.70757,1.08172,0.49533,1.16541,0.00081403,0.00081403,0.00081403
29,485.764,1.09457,0.62265,1.1624,0.98877,0.96819,0.97832,0.70077,1.10006,0.49403,1.19991,0.000803031,0.000803031,0.000803031
30,502.038,1.12235,0.63904,1.17766,0.99208,0.96508,0.98065,0.71089,1.0678,0.48705,1.18595,0.000792032,0.000792032,0.000792032
31,518.578,1.10108,0.62032,1.16328,0.98733,0.95552,0.97924,0.69279,1.10411,0.49477,1.2123,0.000781033,0.000781033,0.000781033
32,536.259,1.08592,0.61343,1.15619,0.97947,0.97247,0.98524,0.68477,1.12395,0.49614,1.24484,0.000770034,0.000770034,0.000770034
33,555.693,1.08846,0.61475,1.16092,0.97679,0.95604,0.9781,0.70047,1.06444,0.48576,1.17784,0.000759035,0.000759035,0.000759035
34,574.792,1.08312,0.59939,1.14985,0.98787,0.97274,0.98185,0.70735,1.06326,0.47927,1.17818,0.000748036,0.000748036,0.000748036
35,593.632,1.07118,0.60081,1.15761,0.9891,0.96706,0.9815,0.71521,1.04405,0.46472,1.17305,0.000737037,0.000737037,0.000737037
36,612.263,1.04708,0.57888,1.1284,0.98607,0.97351,0.98605,0.72318,1.03709,0.45754,1.16742,0.000726038,0.000726038,0.000726038
37,630.952,1.08023,0.57652,1.15818,0.98846,0.98065,0.9863,0.70121,1.06939,0.47117,1.1982,0.00071504,0.00071504,0.00071504
38,648.981,1.07946,0.58323,1.15488,0.99406,0.96706,0.98427,0.71644,1.06818,0.46985,1.17841,0.000704041,0.000704041,0.000704041
39,665.42,1.06506,0.5757,1.14675,0.99495,0.96526,0.97953,0.69256,1.09087,0.47058,1.19499,0.000693042,0.000693042,0.000693042
40,682.741,1.07015,0.58163,1.15193,0.99776,0.97496,0.98777,0.71968,1.07367,0.45644,1.17468,0.000682043,0.000682043,0.000682043
41,700.716,1.0519,0.55859,1.13568,0.98791,0.97427,0.98542,0.70169,1.08692,0.45485,1.19837,0.000671044,0.000671044,0.000671044
42,718.58,1.05135,0.57973,1.14427,0.98914,0.97066,0.98398,0.7143,1.04462,0.447,1.18738,0.000660045,0.000660045,0.000660045
43,735.591,1.03729,0.56216,1.13523,0.98813,0.97475,0.98659,0.72372,1.05483,0.45339,1.17828,0.000649046,0.000649046,0.000649046
44,754.72,1.01647,0.54926,1.13199,0.99202,0.9747,0.98503,0.72058,1.04921,0.44232,1.17539,0.000638047,0.000638047,0.000638047
45,774.182,1.02342,0.54501,1.12958,0.9902,0.96651,0.98396,0.71513,1.06957,0.44685,1.14451,0.000627048,0.000627048,0.000627048
46,798.784,1.0244,0.55129,1.12268,0.98825,0.97313,0.9884,0.71352,1.06678,0.4407,1.19132,0.000616049,0.000616049,0.000616049
47,818.82,1.02648,0.54161,1.12662,0.99364,0.97607,0.98432,0.72939,1.03135,0.42612,1.15896,0.000605051,0.000605051,0.000605051
48,836.783,1.03138,0.54257,1.1214,0.98273,0.98265,0.9896,0.73008,1.04133,0.43045,1.13906,0.000594052,0.000594052,0.000594052
49,853.06,1.00521,0.53567,1.11604,0.99125,0.97888,0.98928,0.72253,1.04496,0.42805,1.1595,0.000583053,0.000583053,0.000583053
50,869.725,1.01949,0.53243,1.12858,0.99528,0.97787,0.98629,0.71966,1.05483,0.43014,1.17112,0.000572054,0.000572054,0.000572054
51,886.131,1.01659,0.52648,1.122,0.9884,0.97528,0.98698,0.71788,1.06278,0.4299,1.18748,0.000561055,0.000561055,0.000561055
52,902.506,1.00109,0.52233,1.11817,0.98745,0.97896,0.98793,0.72913,1.04136,0.41562,1.16211,0.000550056,0.000550056,0.000550056
53,918.689,1.00229,0.51557,1.11709,0.99164,0.97255,0.98663,0.71867,1.03299,0.42135,1.15038,0.000539057,0.000539057,0.000539057
54,934.874,1.01176,0.51651,1.11226,0.98774,0.97745,0.98636,0.70541,1.05447,0.43698,1.15184,0.000528058,0.000528058,0.000528058
55,951.048,0.9944,0.50261,1.10536,0.98569,0.98323,0.99013,0.72662,1.02588,0.40909,1.14828,0.000517059,0.000517059,0.000517059
56,967.466,1.00399,0.51409,1.11085,0.9941,0.97896,0.99018,0.73954,1.03248,0.41921,1.14981,0.00050606,0.00050606,0.00050606
57,984.074,0.98276,0.49956,1.10487,0.99614,0.96929,0.98839,0.72499,1.0586,0.42667,1.20537,0.000495062,0.000495062,0.000495062
58,1000.82,0.98326,0.50277,1.10927,0.98756,0.97835,0.98777,0.72211,1.03922,0.43149,1.15056,0.000484063,0.000484063,0.000484063
59,1017.62,0.97311,0.50053,1.10096,0.99279,0.9814,0.98873,0.73427,1.02917,0.40714,1.19007,0.000473064,0.000473064,0.000473064
60,1034.34,0.96998,0.4937,1.10612,0.99245,0.97858,0.98965,0.72806,1.0237,0.41043,1.15119,0.000462065,0.000462065,0.000462065
