epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2123,1.35871,3.86491,1.57818,0.43047,0.2398,0.25174,0.18861,1.04353,2.57537,1.479,9.73241e-05,9.73241e-05,9.73241e-05
2,63.8878,1.28896,2.68907,1.45439,0.28474,0.42684,0.32701,0.2395,1.09067,2.21881,1.51958,0.00019339,0.00019339,0.00019339
3,95.4077,1.29857,2.35566,1.43573,0.30295,0.42064,0.3297,0.24516,1.08521,2.32388,1.52054,0.000287516,0.000287516,0.000287516
4,126.792,1.28656,2.23468,1.43876,0.47584,0.43331,0.42537,0.31695,1.07073,2.0265,1.541,0.000285268,0.000285268,0.000285268
5,158.164,1.28441,2.14476,1.42756,0.55413,0.38822,0.40823,0.30015,1.09019,2.29928,1.54982,0.000282358,0.000282358,0.000282358
6,189.5,1.25258,2.017,1.40453,0.41674,0.51718,0.46596,0.34517,1.06689,1.88228,1.50931,0.000279447,0.000279447,0.000279447
7,220.874,1.23448,1.9254,1.40362,0.44158,0.48887,0.4485,0.33574,1.04574,1.70656,1.45186,0.000276536,0.000276536,0.000276536
8,252.214,1.21714,1.84456,1.383,0.47822,0.45296,0.47856,0.34878,1.05486,1.82355,1.48281,0.000273626,0.000273626,0.000273626
9,283.86,1.20727,1.75154,1.38048,0.47738,0.52074,0.49416,0.3783,1.02707,1.7685,1.47931,0.000270715,0.000270715,0.000270715
10,315.372,1.20418,1.73144,1.37393,0.46271,0.54968,0.52209,0.39063,1.03524,1.73702,1.47637,0.000267805,0.000267805,0.000267805
11,346.585,1.19184,1.66752,1.36596,0.51852,0.55516,0.51943,0.40416,1.01747,1.70127,1.45289,0.000264894,0.000264894,0.000264894
12,376.391,1.1757,1.59964,1.35503,0.4279,0.56976,0.54327,0.4062,1.03216,1.54989,1.45222,0.000261983,0.000261983,0.000261983
13,406.263,1.16547,1.57154,1.35584,0.48466,0.53181,0.53045,0.4012,1.0481,1.59741,1.48632,0.000259073,0.000259073,0.000259073
14,436.489,1.17053,1.56075,1.34739,0.48014,0.59757,0.5603,0.42693,1.05335,1.52034,1.48842,0.000256162,0.000256162,0.000256162
15,467.065,1.1474,1.49601,1.3412,0.50234,0.54698,0.54394,0.40983,1.00111,1.55729,1.42771,0.000253252,0.000253252,0.000253252
16,496.851,1.15314,1.49436,1.34789,0.45011,0.59362,0.56996,0.44068,0.97648,1.52801,1.41879,0.000250341,0.000250341,0.000250341
17,526.605,1.14338,1.43538,1.3382,0.46892,0.56458,0.55426,0.42575,0.99721,1.55417,1.4409,0.00024743,0.00024743,0.00024743
18,556.661,1.17001,1.44959,1.34705,0.57879,0.56504,0.58351,0.44686,1.02532,1.47664,1.47934,0.00024452,0.00024452,0.00024452
19,585.938,1.1312,1.38703,1.3264,0.45863,0.56511,0.55574,0.43163,1.02216,1.61636,1.43762,0.000241609,0.000241609,0.000241609
20,615.563,1.11503,1.3624,1.31223,0.55788,0.62313,0.6117,0.46789,1.0006,1.40333,1.43746,0.000238699,0.000238699,0.000238699
21,645.287,1.13158,1.34931,1.32292,0.48418,0.60095,0.55404,0.42151,1.02603,1.51189,1.45353,0.000235788,0.000235788,0.000235788
22,675.681,1.11788,1.31417,1.31739,0.5768,0.6075,0.62547,0.47944,0.97782,1.42116,1.41895,0.000232877,0.000232877,0.000232877
23,706.125,1.10445,1.29426,1.31109,0.60169,0.56805,0.60341,0.46869,0.99673,1.38957,1.42379,0.000229967,0.000229967,0.000229967
24,735.879,1.09398,1.26259,1.30164,0.60507,0.60176,0.60739,0.46407,0.9916,1.43309,1.43445,0.000227056,0.000227056,0.000227056
25,765.449,1.09604,1.25083,1.30021,0.52003,0.61084,0.58057,0.44876,1.01416,1.48382,1.43164,0.000224146,0.000224146,0.000224146
26,795.006,1.08309,1.2337,1.29458,0.63756,0.5827,0.6506,0.50922,0.98492,1.32328,1.41754,0.000221235,0.000221235,0.000221235
27,824.605,1.09346,1.20377,1.29217,0.501,0.69687,0.63122,0.48355,0.98771,1.3385,1.42267,0.000218324,0.000218324,0.000218324
28,854.176,1.07214,1.18612,1.2817,0.58366,0.58521,0.58376,0.46077,0.97918,1.48765,1.39264,0.000215414,0.000215414,0.000215414
29,883.755,1.07639,1.18638,1.2901,0.54765,0.58949,0.59211,0.45926,0.98219,1.46784,1.41504,0.000212503,0.000212503,0.000212503
30,913.348,1.07615,1.14539,1.28387,0.56217,0.5939,0.61016,0.47766,0.98597,1.43973,1.39798,0.000209593,0.000209593,0.000209593
31,942.934,1.06546,1.1261,1.27827,0.59095,0.61756,0.63947,0.4947,0.99212,1.31692,1.4229,0.000206682,0.000206682,0.000206682
32,972.492,1.06954,1.15476,1.2807,0.58232,0.59596,0.61895,0.47886,1.00127,1.46728,1.42152,0.000203771,0.000203771,0.000203771
33,1002.09,1.04308,1.10577,1.26864,0.56581,0.62708,0.61963,0.48644,0.99149,1.38889,1.41987,0.000200861,0.000200861,0.000200861
34,1031.64,1.04475,1.08217,1.27389,0.62936,0.55461,0.63318,0.4914,1.00028,1.41624,1.41952,0.00019795,0.00019795,0.00019795
35,1061.24,1.04072,1.08263,1.26567,0.58933,0.62372,0.61938,0.47391,1.02198,1.4328,1.43417,0.00019504,0.00019504,0.00019504
36,1091.24,1.03019,1.06186,1.25526,0.57787,0.62773,0.63155,0.49325,0.99809,1.42188,1.41117,0.000192129,0.000192129,0.000192129
37,1121.03,1.02597,1.03902,1.25307,0.58873,0.59153,0.61513,0.48294,0.98252,1.46424,1.41244,0.000189218,0.000189218,0.000189218
38,1150.59,1.02534,1.01178,1.25034,0.57756,0.6401,0.64733,0.49995,0.98939,1.3401,1.41966,0.000186308,0.000186308,0.000186308
39,1180.17,1.02721,1.0066,1.25107,0.60457,0.61399,0.61355,0.47883,0.99026,1.4498,1.39659,0.000183397,0.000183397,0.000183397
40,1209.75,1.01762,1.01159,1.24942,0.6061,0.56596,0.6122,0.46813,0.99018,1.46177,1.39238,0.000180487,0.000180487,0.000180487
41,1239.36,1.01401,0.98514,1.25008,0.58749,0.61137,0.61702,0.48105,0.97993,1.44193,1.41231,0.000177576,0.000177576,0.000177576
42,1268.96,1.01783,0.95525,1.24236,0.52907,0.61213,0.59689,0.46287,1.00694,1.43686,1.41007,0.000174665,0.000174665,0.000174665
43,1298.85,0.98674,0.94743,1.22983,0.62856,0.60489,0.64211,0.49506,0.98662,1.37294,1.39751,0.000171755,0.000171755,0.000171755
44,1328.36,0.99671,0.93729,1.23077,0.58201,0.59335,0.62784,0.49372,0.99006,1.39497,1.42162,0.000168844,0.000168844,0.000168844
45,1358.58,0.98613,0.92909,1.22967,0.53744,0.63404,0.60751,0.48091,0.98116,1.50882,1.39444,0.000165934,0.000165934,0.000165934
46,1388.58,0.9838,0.90969,1.22912,0.63326,0.59168,0.65157,0.51648,0.95866,1.29537,1.37451,0.000163023,0.000163023,0.000163023
47,1418.45,0.96884,0.89499,1.22456,0.57313,0.6545,0.621,0.48334,0.99056,1.5081,1.42462,0.000160112,0.000160112,0.000160112
48,1448.32,0.97326,0.88855,1.21629,0.62247,0.59306,0.63394,0.50019,0.97365,1.41095,1.39925,0.000157202,0.000157202,0.000157202
49,1478.19,0.95313,0.86991,1.20323,0.5853,0.58102,0.59843,0.47673,0.9741,1.50333,1.39401,0.000154291,0.000154291,0.000154291
50,1508.06,0.9564,0.85713,1.19783,0.61235,0.57967,0.62461,0.49428,0.9566,1.43859,1.3907,0.000151381,0.000151381,0.000151381
51,1537.88,0.94191,0.86045,1.20799,0.59764,0.65128,0.6444,0.5055,0.99558,1.43026,1.42665,0.00014847,0.00014847,0.00014847
52,1567.68,0.94524,0.83829,1.20552,0.55453,0.62076,0.62363,0.48103,0.98179,1.41373,1.39627,0.000145559,0.000145559,0.000145559
