epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,669.982,0.45773,0.56606,0.98339,0.91655,0.86994,0.92886,0.81013,0.49886,0.48338,0.98293,0.000660045,0.000660045,0.000660045
43,685.82,0.45397,0.5431,0.97616,0.91624,0.85326,0.91954,0.81196,0.48363,0.48348,0.98378,0.000649046,0.000649046,0.000649046
44,701.682,0.45477,0.54698,0.98826,0.90507,0.86462,0.91427,0.8055,0.49264,0.50483,0.97403,0.000638047,0.000638047,0.000638047
45,717.506,0.45132,0.53781,0.97081,0.92356,0.8795,0.93258,0.81786,0.48942,0.46765,0.96699,0.000627048,0.000627048,0.000627048
46,733.348,0.46809,0.54931,0.98409,0.92532,0.86825,0.93022,0.81676,0.49455,0.48024,0.98206,0.000616049,0.000616049,0.000616049
47,749.168,0.45591,0.53837,0.96799,0.90091,0.87575,0.92951,0.81972,0.48982,0.48865,0.98956,0.000605051,0.000605051,0.000605051
48,765.052,0.44234,0.51575,0.97186,0.91414,0.90997,0.93791,0.83184,0.46744,0.43595,0.96594,0.000594052,0.000594052,0.000594052
49,780.892,0.43931,0.51062,0.96068,0.89782,0.85711,0.9234,0.81409,0.48525,0.48911,0.97893,0.000583053,0.000583053,0.000583053
50,796.678,0.4192,0.50289,0.96583,0.90819,0.89904,0.93111,0.83069,0.47016,0.45133,0.96592,0.000572054,0.000572054,0.000572054
51,812.549,0.4362,0.50467,0.96497,0.91916,0.888,0.92734,0.82754,0.47175,0.45743,0.95864,0.000561055,0.000561055,0.000561055
52,828.392,0.41983,0.48276,0.96051,0.92478,0.87622,0.93273,0.83292,0.46365,0.44761,0.96483,0.000550056,0.000550056,0.000550056
53,844.219,0.43771,0.50115,0.96635,0.92651,0.87937,0.9384,0.8335,0.46184,0.44608,0.95891,0.000539057,0.000539057,0.000539057
54,860.085,0.41253,0.47032,0.95677,0.92606,0.88111,0.9432,0.83203,0.47918,0.43937,0.96752,0.000528058,0.000528058,0.000528058
55,875.905,0.42821,0.48041,0.96541,0.91045,0.89579,0.931,0.83045,0.46428,0.43173,0.95784,0.000517059,0.000517059,0.000517059
56,891.84,0.41151,0.46406,0.95846,0.93951,0.87696,0.94082,0.8417,0.46305,0.42637,0.95833,0.00050606,0.00050606,0.00050606
57,907.698,0.40686,0.45508,0.951,0.91107,0.88384,0.93582,0.84036,0.4457,0.42677,0.94702,0.000495062,0.000495062,0.000495062
58,923.535,0.40638,0.45998,0.95185,0.94365,0.9019,0.94969,0.84807,0.45195,0.40418,0.95772,0.000484063,0.000484063,0.000484063
59,939.415,0.41167,0.45947,0.9557,0.9442,0.89966,0.94517,0.84178,0.43095,0.40585,0.92996,0.000473064,0.000473064,0.000473064
60,955.288,0.42213,0.4544,0.95481,0.91241,0.91154,0.94674,0.83894,0.44954,0.41547,0.94425,0.000462065,0.000462065,0.000462065
