epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2729,1.35871,3.86491,1.57818,0.43047,0.2398,0.25174,0.18861,1.04353,2.57537,1.479,9.73241e-05,9.73241e-05,9.73241e-05
2,67.8,1.28896,2.68907,1.45439,0.28474,0.42684,0.32701,0.2395,1.09067,2.21881,1.51958,0.00019339,0.00019339,0.00019339
3,101.522,1.29857,2.35566,1.43573,0.30295,0.42064,0.3297,0.24516,1.08521,2.32388,1.52054,0.000287516,0.000287516,0.000287516
4,134.775,1.28656,2.23468,1.43876,0.47584,0.43331,0.42537,0.31695,1.07073,2.0265,1.541,0.000285268,0.000285268,0.000285268
5,168.103,1.28441,2.14476,1.42756,0.55413,0.38822,0.40823,0.30015,1.09019,2.29928,1.54982,0.000282358,0.000282358,0.000282358
6,201.25,1.25258,2.017,1.40453,0.41674,0.51718,0.46596,0.34517,1.06689,1.88228,1.50931,0.000279447,0.000279447,0.000279447
7,234.832,1.23448,1.9254,1.40362,0.44158,0.48887,0.4485,0.33574,1.04574,1.70656,1.45186,0.000276536,0.000276536,0.000276536
8,268.447,1.21714,1.84456,1.383,0.47822,0.45296,0.47856,0.34878,1.05486,1.82355,1.48281,0.000273626,0.000273626,0.000273626
9,302.118,1.20727,1.75154,1.38048,0.47738,0.52074,0.49416,0.3783,1.02707,1.7685,1.47931,0.000270715,0.000270715,0.000270715
10,335.774,1.20418,1.73144,1.37393,0.46271,0.54968,0.52209,0.39063,1.03524,1.73702,1.47637,0.000267805,0.000267805,0.000267805
11,369.439,1.19184,1.66752,1.36596,0.51852,0.55516,0.51943,0.40416,1.01747,1.70127,1.45289,0.000264894,0.000264894,0.000264894
12,403.082,1.1757,1.59964,1.35503,0.4279,0.56976,0.54327,0.4062,1.03216,1.54989,1.45222,0.000261983,0.000261983,0.000261983
13,436.756,1.16547,1.57154,1.35584,0.48466,0.53181,0.53045,0.4012,1.0481,1.59741,1.48632,0.000259073,0.000259073,0.000259073
14,470.35,1.17053,1.56075,1.34739,0.48014,0.59757,0.5603,0.42693,1.05335,1.52034,1.48842,0.000256162,0.000256162,0.000256162
15,503.476,1.1474,1.49601,1.3412,0.50234,0.54698,0.54394,0.40983,1.00111,1.55729,1.42771,0.000253252,0.000253252,0.000253252
16,536.739,1.15314,1.49436,1.34789,0.45011,0.59362,0.56996,0.44068,0.97648,1.52801,1.41879,0.000250341,0.000250341,0.000250341
17,570.089,1.14338,1.43538,1.3382,0.46892,0.56458,0.55426,0.42575,0.99721,1.55417,1.4409,0.00024743,0.00024743,0.00024743
18,603.353,1.17001,1.44959,1.34705,0.57879,0.56504,0.58351,0.44686,1.02532,1.47664,1.47934,0.00024452,0.00024452,0.00024452
19,636.612,1.1312,1.38703,1.3264,0.45863,0.56511,0.55574,0.43163,1.02216,1.61636,1.43762,0.000241609,0.000241609,0.000241609
20,669.871,1.11503,1.3624,1.31223,0.55788,0.62313,0.6117,0.46789,1.0006,1.40333,1.43746,0.000238699,0.000238699,0.000238699
21,703.144,1.13158,1.34931,1.32292,0.48418,0.60095,0.55404,0.42151,1.02603,1.51189,1.45353,0.000235788,0.000235788,0.000235788
22,736.499,1.11788,1.31417,1.31739,0.5768,0.6075,0.62547,0.47944,0.97782,1.42116,1.41895,0.000232877,0.000232877,0.000232877
23,769.604,1.10445,1.29426,1.31109,0.60169,0.56805,0.60341,0.46869,0.99673,1.38957,1.42379,0.000229967,0.000229967,0.000229967
24,802.821,1.09398,1.26259,1.30164,0.60507,0.60176,0.60739,0.46407,0.9916,1.43309,1.43445,0.000227056,0.000227056,0.000227056
25,836.428,1.09604,1.25083,1.30021,0.52003,0.61084,0.58057,0.44876,1.01416,1.48382,1.43164,0.000224146,0.000224146,0.000224146
26,869.639,1.08309,1.2337,1.29458,0.63756,0.5827,0.6506,0.50922,0.98492,1.32328,1.41754,0.000221235,0.000221235,0.000221235
27,903.177,1.09346,1.20377,1.29217,0.501,0.69687,0.63122,0.48355,0.98771,1.3385,1.42267,0.000218324,0.000218324,0.000218324
28,936.404,1.07214,1.18612,1.2817,0.58366,0.58521,0.58376,0.46077,0.97918,1.48765,1.39264,0.000215414,0.000215414,0.000215414
29,969.636,1.07639,1.18638,1.2901,0.54765,0.58949,0.59211,0.45926,0.98219,1.46784,1.41504,0.000212503,0.000212503,0.000212503
