epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0134,1.79295,3.76575,1.62419,0.72827,0.69284,0.69748,0.40634,1.54842,2.26405,1.40149,0.000367506,0.000367506,0.000367506
2,37.0515,1.59105,2.23256,1.45075,0.7762,0.71775,0.77691,0.43432,1.58743,1.4504,1.52398,0.000730535,0.000730535,0.000730535
3,54.7994,1.54169,1.78616,1.39735,0.68239,0.7155,0.71266,0.39464,1.65199,1.62142,1.59972,0.00108623,0.00108623,0.00108623
4,72.3874,1.46703,1.43853,1.36938,0.84294,0.84745,0.88887,0.52602,1.40069,1.03231,1.38373,0.001078,0.001078,0.001078
5,89.9841,1.47205,1.27446,1.38472,0.91138,0.92077,0.94772,0.58947,1.3732,0.83584,1.29788,0.001067,0.001067,0.001067
6,107.585,1.36999,1.09949,1.3084,0.95591,0.93667,0.96132,0.59509,1.36551,0.80396,1.30902,0.00105601,0.00105601,0.00105601
7,125.185,1.392,1.07326,1.33024,0.95412,0.90051,0.95862,0.60798,1.33946,0.76585,1.31521,0.00104501,0.00104501,0.00104501
8,142.768,1.36532,0.99229,1.32175,0.95089,0.91919,0.95112,0.62255,1.27043,0.77053,1.2515,0.00103401,0.00103401,0.00103401
9,160.34,1.33068,0.93723,1.27686,0.95173,0.88719,0.95242,0.62136,1.29008,0.72895,1.24337,0.00102301,0.00102301,0.00102301
10,177.933,1.33531,0.92097,1.29255,0.97756,0.94064,0.96989,0.64757,1.20764,0.66434,1.22386,0.00101201,0.00101201,0.00101201
11,195.523,1.27645,0.86914,1.25557,0.97929,0.94051,0.97505,0.64257,1.1979,0.65079,1.22405,0.00100101,0.00100101,0.00100101
12,213.131,1.2539,0.84293,1.24457,0.94851,0.94063,0.96687,0.661,1.19223,0.63862,1.20718,0.000990012,0.000990012,0.000990012
13,230.749,1.24973,0.83848,1.24313,0.96604,0.93604,0.96005,0.64196,1.1915,0.65935,1.23073,0.000979013,0.000979013,0.000979013
14,248.347,1.27167,0.84476,1.27239,0.97394,0.95465,0.96576,0.65241,1.20734,0.60041,1.23182,0.000968014,0.000968014,0.000968014
15,265.974,1.23355,0.79743,1.23861,0.98376,0.95233,0.97708,0.6499,1.20958,0.59531,1.22375,0.000957015,0.000957015,0.000957015
16,283.573,1.2068,0.78155,1.22363,0.96532,0.95363,0.97243,0.64604,1.24341,0.62406,1.26544,0.000946016,0.000946016,0.000946016
17,301.16,1.20307,0.77233,1.21484,0.97678,0.95624,0.97046,0.66215,1.17529,0.6165,1.1845,0.000935018,0.000935018,0.000935018
18,318.748,1.18443,0.75658,1.20522,0.98144,0.94529,0.9689,0.6725,1.1521,0.59122,1.18673,0.000924019,0.000924019,0.000924019
19,336.477,1.18019,0.72464,1.19137,0.98734,0.95079,0.97909,0.67634,1.13475,0.54728,1.18722,0.00091302,0.00091302,0.00091302
20,353.954,1.18539,0.71916,1.19229,0.98071,0.96677,0.97884,0.69301,1.12065,0.52779,1.16851,0.000902021,0.000902021,0.000902021
21,371.289,1.17357,0.69448,1.19583,0.98127,0.96265,0.97946,0.68467,1.12138,0.53327,1.17594,0.000891022,0.000891022,0.000891022
22,388.644,1.17483,0.70077,1.2007,0.98298,0.97911,0.98603,0.69129,1.10537,0.52044,1.18688,0.000880023,0.000880023,0.000880023
23,405.933,1.14887,0.67671,1.19088,0.98553,0.97636,0.98385,0.69219,1.12247,0.50722,1.18533,0.000869024,0.000869024,0.000869024
24,423.234,1.14189,0.66079,1.18087,0.98778,0.95733,0.97866,0.70399,1.08889,0.5002,1.16886,0.000858025,0.000858025,0.000858025
25,440.551,1.15182,0.66397,1.18583,0.98328,0.94361,0.97558,0.68138,1.11853,0.53194,1.19993,0.000847026,0.000847026,0.000847026
26,457.873,1.13515,0.65984,1.1746,0.98905,0.95412,0.97128,0.69305,1.10477,0.5152,1.18501,0.000836027,0.000836027,0.000836027
27,475.177,1.12948,0.63815,1.18155,0.97279,0.97787,0.98265,0.69773,1.10036,0.50236,1.17709,0.000825029,0.000825029,0.000825029
28,492.479,1.12878,0.64828,1.17051,0.98243,0.96581,0.97875,0.70757,1.08172,0.49533,1.16541,0.00081403,0.00081403,0.00081403
29,509.76,1.09457,0.62265,1.1624,0.98877,0.96819,0.97832,0.70077,1.10006,0.49403,1.19991,0.000803031,0.000803031,0.000803031
