epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9978,1.12024,1.65389,1.30746,0.60459,0.59163,0.60752,0.47045,0.9844,1.46281,1.40002,9.73241e-05,9.73241e-05,9.73241e-05
2,42.1941,1.12881,1.60039,1.32412,0.432,0.58299,0.53564,0.40725,1.00199,1.69313,1.41645,0.00019339,0.00019339,0.00019339
3,62.2311,1.13616,1.60257,1.3119,0.43815,0.63806,0.56108,0.42828,1.02063,1.60504,1.44999,0.000287516,0.000287516,0.000287516
4,82.4489,1.14069,1.62505,1.32578,0.53148,0.58056,0.53835,0.41216,1.01512,1.65345,1.45358,0.000285268,0.000285268,0.000285268
5,102.41,1.16018,1.63023,1.32745,0.48759,0.51754,0.52491,0.39201,1.03244,1.83728,1.47351,0.000282358,0.000282358,0.000282358
6,122.347,1.12847,1.58317,1.31546,0.46313,0.55473,0.53131,0.4029,1.03435,1.71035,1.46786,0.000279447,0.000279447,0.000279447
7,142.291,1.1355,1.56472,1.32463,0.53355,0.54677,0.57109,0.43465,1.00291,1.54792,1.40746,0.000276536,0.000276536,0.000276536
8,162.301,1.12546,1.54409,1.31327,0.57272,0.47986,0.54706,0.42199,1.02005,1.65401,1.46683,0.000273626,0.000273626,0.000273626
9,182.289,1.11409,1.51487,1.31098,0.5521,0.55367,0.58141,0.44305,1.01242,1.60614,1.43786,0.000270715,0.000270715,0.000270715
10,202.295,1.12623,1.50934,1.31539,0.50779,0.57287,0.5515,0.42962,1.02546,1.68496,1.44182,0.000267805,0.000267805,0.000267805
11,222.245,1.11273,1.47571,1.30534,0.52137,0.58955,0.56872,0.43476,0.9976,1.58315,1.42861,0.000264894,0.000264894,0.000264894
12,242.208,1.0993,1.42457,1.29922,0.62429,0.50864,0.58043,0.43665,1.0068,1.52512,1.42668,0.000261983,0.000261983,0.000261983
13,262.19,1.09596,1.40569,1.30018,0.52929,0.54525,0.54583,0.41609,1.02139,1.62046,1.4393,0.000259073,0.000259073,0.000259073
14,282.18,1.10629,1.43124,1.29522,0.57133,0.60579,0.59245,0.45845,1.00109,1.52205,1.4251,0.000256162,0.000256162,0.000256162
