epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1156,1.7741,3.63529,1.61959,0.72077,0.75503,0.75851,0.45014,1.49468,2.18912,1.32717,0.000367506,0.000367506,0.000367506
2,35.6734,1.60798,2.2413,1.44672,0.779,0.77288,0.82854,0.46639,1.55486,1.38182,1.43656,0.000730535,0.000730535,0.000730535
3,52.9155,1.55145,1.7993,1.40269,0.83667,0.75338,0.82127,0.47974,1.48451,1.28793,1.37909,0.00108623,0.00108623,0.00108623
4,70.1549,1.47377,1.42676,1.35718,0.85672,0.8944,0.91071,0.5315,1.43713,1.15505,1.38326,0.001078,0.001078,0.001078
5,87.2892,1.47282,1.26769,1.35904,0.87495,0.83809,0.91459,0.56662,1.37515,1.05151,1.32123,0.001067,0.001067,0.001067
6,104.297,1.37737,1.10867,1.31685,0.91546,0.91084,0.94035,0.59265,1.31836,0.82561,1.26579,0.00105601,0.00105601,0.00105601
7,121.414,1.39816,1.07742,1.326,0.83357,0.85423,0.89377,0.56184,1.35161,1.05198,1.3049,0.00104501,0.00104501,0.00104501
8,138.494,1.36719,0.99681,1.29239,0.93922,0.90132,0.94687,0.60046,1.31868,0.773,1.22757,0.00103401,0.00103401,0.00103401
9,155.576,1.32279,0.94357,1.26543,0.95538,0.90322,0.95372,0.61405,1.27774,0.7141,1.23324,0.00102301,0.00102301,0.00102301
10,172.654,1.33184,0.94049,1.27829,0.92317,0.88603,0.92302,0.56101,1.40722,0.76585,1.34718,0.00101201,0.00101201,0.00101201
11,189.729,1.27492,0.85437,1.24693,0.9597,0.95694,0.97105,0.65702,1.1864,0.63122,1.18348,0.00100101,0.00100101,0.00100101
12,206.835,1.27296,0.83736,1.24876,0.9706,0.95311,0.97022,0.64241,1.20517,0.63586,1.20442,0.000990012,0.000990012,0.000990012
13,223.797,1.25131,0.82491,1.22993,0.96995,0.95352,0.97367,0.66462,1.17874,0.59029,1.17913,0.000979013,0.000979013,0.000979013
14,241.66,1.2645,0.83378,1.25574,0.96783,0.9472,0.96791,0.65479,1.18269,0.6343,1.19848,0.000968014,0.000968014,0.000968014
15,258.761,1.26836,0.80336,1.24135,0.96534,0.9449,0.97371,0.65387,1.21863,0.61473,1.21142,0.000957015,0.000957015,0.000957015
16,275.867,1.21316,0.76858,1.21991,0.98145,0.95564,0.97502,0.67763,1.17466,0.5773,1.18431,0.000946016,0.000946016,0.000946016
